ligand_id,name,status,receptor,affinity
saquinavir,Saquinavir,approved,hiv_protease,-10.37
ritonavir,Ritonavir,approved,hiv_protease,-9.836
indinavir,Indinavir,approved,hiv_protease,-10.18
nelfinavir,Nelfinavir,approved,hiv_protease,-10.99
amprenavir,Amprenavir,approved,hiv_protease,-8.852
lopinavir,Lopinavir,approved,hiv_protease,-10.68
atazanavir,Atazanavir,approved,hiv_protease,-8.669
fosamprenavir,Fosamprenavir,approved,hiv_protease,-8.172
tipranavir,Tipranavir,approved,hiv_protease,-10.81
darunavir,Darunavir,approved,hiv_protease,-9.485
cobicistat,Cobicistat,booster,hiv_protease,-9.148
brecanavir,Brecanavir,discontinued,hiv_protease,-9.678
mozenavir,Mozenavir,discontinued,hiv_protease,-8.911
palinavir,Palinavir,discontinued,hiv_protease,-10.15
telinavir,Telinavir,discontinued,hiv_protease,-9.581
kni272,KNI-272,investigational,hiv_protease,-9.206
gs8374,GS-8374,investigational,hiv_protease,-8.521
dmp323,DMP-323,discontinued,hiv_protease,-8.285
tmc310911,TMC-310911,investigational,hiv_protease,-10.25
grl0519,GRL-0519,investigational,hiv_protease,-9.644
saquinavir,Saquinavir,approved,cathepsin_d,-9.952
ritonavir,Ritonavir,approved,cathepsin_d,-9.157
indinavir,Indinavir,approved,cathepsin_d,-8.19
nelfinavir,Nelfinavir,approved,cathepsin_d,-10.26
amprenavir,Amprenavir,approved,cathepsin_d,-8.333
lopinavir,Lopinavir,approved,cathepsin_d,-10.06
atazanavir,Atazanavir,approved,cathepsin_d,-8.443
fosamprenavir,Fosamprenavir,approved,cathepsin_d,-7.284
tipranavir,Tipranavir,approved,cathepsin_d,-9.576
darunavir,Darunavir,approved,cathepsin_d,-9.249
cobicistat,Cobicistat,booster,cathepsin_d,-9.186
brecanavir,Brecanavir,discontinued,cathepsin_d,-8.479
mozenavir,Mozenavir,discontinued,cathepsin_d,-6.612
palinavir,Palinavir,discontinued,cathepsin_d,-9.859
telinavir,Telinavir,discontinued,cathepsin_d,-9.214
kni272,KNI-272,investigational,cathepsin_d,-9.227
gs8374,GS-8374,investigational,cathepsin_d,-8.232
dmp323,DMP-323,discontinued,cathepsin_d,-5.65
tmc310911,TMC-310911,investigational,cathepsin_d,-10.06
grl0519,GRL-0519,investigational,cathepsin_d,-8.972
saquinavir,Saquinavir,approved,bace1,-10.16
ritonavir,Ritonavir,approved,bace1,-9.999
indinavir,Indinavir,approved,bace1,-9.407
nelfinavir,Nelfinavir,approved,bace1,-8.595
amprenavir,Amprenavir,approved,bace1,-7.923
lopinavir,Lopinavir,approved,bace1,-10.17
atazanavir,Atazanavir,approved,bace1,-9.52
fosamprenavir,Fosamprenavir,approved,bace1,-8.158
tipranavir,Tipranavir,approved,bace1,-9.013
darunavir,Darunavir,approved,bace1,-10.57
cobicistat,Cobicistat,booster,bace1,-9.942
brecanavir,Brecanavir,discontinued,bace1,-8.792
mozenavir,Mozenavir,discontinued,bace1,-7.763
palinavir,Palinavir,discontinued,bace1,-10.16
telinavir,Telinavir,discontinued,bace1,-9.495
kni272,KNI-272,investigational,bace1,-9.497
gs8374,GS-8374,investigational,bace1,-7.834
dmp323,DMP-323,discontinued,bace1,-6.846
tmc310911,TMC-310911,investigational,bace1,-10.13
grl0519,GRL-0519,investigational,bace1,-9.349
