ligand_id,name,status,hiv_protease,cathepsin_d,bace1,ddg_cathepsin_d,ddg_bace1,selectivity_score,selective_for_hiv,MW,logP,TPSA,HBD,HBA,RotB
dmp323,DMP-323,discontinued,-8.285,-5.65,-6.846,2.635,1.439,1.439,True,566.6980000000002,4.0534000000000034,104.47000000000001,4.0,5.0,10.0
tipranavir,Tipranavir,approved,-10.81,-9.576,-9.013,1.234,1.7970000000000006,1.234,True,602.6750000000001,7.325500000000007,105.59000000000002,2.0,6.0,11.0
mozenavir,Mozenavir,discontinued,-8.911,-6.612,-7.763,2.2989999999999995,1.1479999999999997,1.1479999999999997,True,536.6760000000003,4.233200000000004,116.05000000000001,4.0,5.0,8.0
brecanavir,Brecanavir,discontinued,-9.678,-8.479,-8.792,1.1990000000000016,0.886000000000001,0.886000000000001,True,703.8360000000002,3.8657200000000023,154.98,2.0,12.0,14.0
indinavir,Indinavir,approved,-10.18,-8.19,-9.407,1.9900000000000002,0.7729999999999997,0.7729999999999997,True,613.8030000000003,2.8669000000000016,118.03000000000002,4.0,7.0,11.0
nelfinavir,Nelfinavir,approved,-10.99,-10.26,-8.595,0.7300000000000004,2.3949999999999996,0.7300000000000004,True,567.7960000000003,4.747620000000004,101.9,4.0,6.0,9.0
amprenavir,Amprenavir,approved,-8.852,-8.333,-7.923,0.5190000000000001,0.9290000000000003,0.5190000000000001,True,505.63700000000034,2.4028,131.19,3.0,7.0,11.0
lopinavir,Lopinavir,approved,-10.68,-10.06,-10.17,0.6199999999999992,0.5099999999999998,0.5099999999999998,True,628.8139999999999,4.328140000000003,120.0,4.0,5.0,15.0
grl0519,GRL-0519,investigational,-9.644,-8.972,-9.349,0.6720000000000006,0.29499999999999993,0.29499999999999993,True,604.7220000000001,2.7742000000000004,132.86,2.0,9.0,12.0
gs8374,GS-8374,investigational,-8.521,-8.232,-7.834,0.2890000000000015,0.6870000000000012,0.2890000000000015,True,728.7980000000002,4.404100000000003,168.39,2.0,12.0,19.0
saquinavir,Saquinavir,approved,-10.37,-9.952,-10.16,0.41799999999999926,0.20999999999999908,0.20999999999999908,True,670.855,3.092400000000003,166.75,5.0,7.0,12.0
tmc310911,TMC-310911,investigational,-10.25,-10.06,-10.13,0.1899999999999995,0.11999999999999922,0.11999999999999922,True,756.0039999999997,5.221700000000005,142.56,3.0,11.0,14.0
telinavir,Telinavir,discontinued,-9.581,-9.214,-9.495,0.3669999999999991,0.0860000000000003,0.0860000000000003,True,604.7520000000002,2.763100000000003,166.74999999999997,5.0,6.0,13.0
fosamprenavir,Fosamprenavir,approved,-8.172,-7.284,-8.158,0.8880000000000008,0.014000000000001123,0.014000000000001123,True,585.6160000000002,2.5198,177.72,4.0,8.0,13.0
palinavir,Palinavir,discontinued,-10.15,-9.859,-10.16,0.29100000000000037,-0.009999999999999787,-0.009999999999999787,False,708.904,4.437100000000003,145.78,4.0,8.0,14.0
ritonavir,Ritonavir,approved,-9.836,-9.157,-9.999,0.6790000000000003,-0.16300000000000026,-0.16300000000000026,False,720.9620000000001,5.905200000000005,145.77999999999997,4.0,9.0,17.0
kni272,KNI-272,investigational,-9.206,-9.227,-9.497,-0.021000000000000796,-0.29100000000000037,-0.29100000000000037,False,667.854,2.3660000000000005,149.96,4.0,9.0,13.0
cobicistat,Cobicistat,booster,-9.148,-9.186,-9.942,-0.038000000000000256,-0.7940000000000005,-0.7940000000000005,False,776.0420000000001,6.000700000000006,138.02,3.0,10.0,19.0
atazanavir,Atazanavir,approved,-8.669,-8.443,-9.52,0.22600000000000087,-0.8509999999999991,-0.8509999999999991,False,704.869,4.2116000000000025,171.21999999999997,5.0,9.0,14.0
darunavir,Darunavir,approved,-9.485,-9.249,-10.57,0.23599999999999888,-1.0850000000000009,-1.0850000000000009,False,547.6740000000003,2.3753,140.42000000000002,3.0,8.0,11.0
